source,target,weight
724160358181642240,98003645,1
22844335,148866942,1
888999812082933760,2461713990,1
2703077037,457588430,1
2703077037,947957413377921024,1
2573661345,803017484303527936,1
700639918339428353,269199676,1
724160358181642240,3231606633,1
2991955251,921067364208308224,1
858710047525928960,466425531,1
1964228874,764129427408183296,1
2976169083,194615652,1
830438448,69587025,1
2991955251,2834023732,1
123705679,922905261232271362,1
14169092,947549155492278272,1
2913929512,2734975089,1
724160358181642240,550510477,1
14169092,947602410402394113,1
14169092,947425256020594688,1
2165241247,3095601952,1
2913929512,453058678,1
882675697,2340299076,1
627412337,3052737796,1
226550182,906096255796961281,1
2913929512,196646702,1
2734975089,541284866,1
337972171,944943098496417793,1
2165241247,857584868229881856,1
2976169083,526683513,1
3879369021,3319126768,1
882675697,815456312058265600,1
3330139223,947957413377921024,1
3330139223,918215181196517376,1
700639918339428353,3150144144,1
2982472295,459155965,1
1014963092,4910769383,1
558140035,90750305,1
226550182,1016048052,1
1964228874,574588179,1
1334662188,724160358181642240,1
2991955251,1255690058,1
1334662188,122014550,1
245037674,818612784095109120,1
627412337,254470233,1
627412337,554588599,1
2549528592,186221116,1
627412337,4171966941,1
123705679,3432694101,1
2549528592,944873458059677697,1
876286676,1628705112,1
14169092,947900830102978561,1
499793772,703195383753605120,1
724160358181642240,351114167,1
2734975089,457588430,1
1334662188,1456552698,1
2913929512,2600626336,1
2982472295,939095255483371520,1
2948791281,465403660,1
1014963092,627291400,1
226550182,746661537453121536,1
226550182,890493723154550784,1
931261443151925248,832632884,1
1964228874,216688496,1
3330139223,760129244458520576,1
1964228874,2703077037,1
876286676,837002432,1
858710047525928960,224940210,1
2734975089,522593098,1
2982472295,486561007,1
558140035,935882268,1
2913929512,1331587951,1
882675697,53911127,1
2549528592,830179875612917762,1
3879369021,1527616154,1
2948791281,946831435826188288,1
2734975089,886886839876976640,1
1964228874,947315074393182208,1
1964228874,3018600519,1
46352298,3374457514,1
226550182,611567265,1
123705679,107442989,1
3064353419,96527182,1
1014963092,867117331419459586,1
2976169083,3353150469,1
22844335,937782473626345473,1
2165241247,2292443861,1
888999812082933760,1595136620,1
3879369021,209264951,1
2734975089,96071944,1
226550182,358148463,1
46352298,3194005829,1
319639400,845293496193994754,1
2734975089,78298637,1
123705679,1269062024,1
2991955251,926407364303114242,1
46352298,2277632947,1
196134777,1066490658,1
2703077037,937344119017484289,1
245037674,852324493511020544,1
2976169083,739293235,1
558140035,32182383,1
2913929512,226550182,1
1014963092,2285717954,1
830438448,121068845,1
2982472295,35465127,1
858710047525928960,722039695400706048,1
2800039531,311401008,1
